,Tweet
586,                                               اتصلي وقولي لهم مشكلتك يطلب منك تاريخ اول جرعه وتاري                         
587,                                               هذا           
588," اتواصلت معهم يقولون المشكلة من عندكم
شكراً لكم على اهتمامكم"
589, تم الرد على استفساركم ولم يتم تصحيح الحالة الصحية
590,             عفواً
591,   
592, تواصلت مع وزراة الصحه لكن لم يتغير اي شي
593," شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخراج تاشيرات
 ️ تصفير الغرامات💯
 ️ نقل                         "
594,                                               بلله عليك    امانه وش الرقم اللي دقيت عليه
595,           أخذت الجرعة الثانية من نوع فايزر في هيوستن الولايات المتحدة الأمريكية و تقدمت بطلب إعتما                         
596,                             ما في حل للاسف   يقولك لازم تكون خارج المملكة 😅 مشكل كبير جدا صاير للس                         
597,                                               المشكله إهمال من الموظفين بالمستشفى مايرفعون الاسم ا                         
598, وزاره الصحه قبلت القاح  وصعدت البيانات ولم نجد استجابه من توكلنا
599,                                                                   أشكركم على سرعة التجاوب، وأتمنى ان يكون ذلك سريعًا 
600,"              تواصل مع توكلنا على هذا الرقم
          
وقل لهم إن وزارة الصحة رافعة بياناتي وأنتم ل                         "
601,"                                 هل افادوك اخي الكريم او عرفت ازاي يسجل في توكلنا
عندي نفس المشكلة"
602,                شكرا لك على تجاوبك  🌷
603,                              وعليكم السلام مرحبا بك عزيزي، بيانات التحصين ترسل من وزارة الصحة وتظهر في توكلنا، فضلا التواص 
604,"                الصحة أرسلتها لكم بارك الله فيك من شهور وانا محصن

فجأة من عندكم غير محصن
اتمنى سؤالي واضح"
605,"         سويت لها وضبط 

شكرا جزيلا"
606,                شكرا لك والله 👍 جزاك الله خير ماقصرت يعطيك العافيه ياخوي
607,                حاولت تعريف رقم جوال لزوجتى وهي الان في القاهره تأتي رساله لايمكن التعريف لمن هم خا                         
608,                عفوا انا محصن جرعتن بس اسال   أنا راح اكون موهل للجرعة بعد شهرين مع دخول السنه الجد                         
609,                شكرا لك والله 👍       تحياتي لكم جميعا
610,                                                  مرحبا بك أستاذ عبدالجليل، بيانات التحصين ترسل من وزارة الصحة وتظهر في توك 
611,                                                                                                                            
612,               تواصلنا اكثر من ١٥ مره توكلنا يحولنا على وزاره الصحه ولمن نكلم وزاره الصحه يحولونا ع                         
613,                                                       وش صار معكم
614, السلام عليكم ورحمة الله وبركاته برجاء الرد والمساعده علي الخاص
615," السلام عليكم
اخذت جرعتين سينوفارم و جرعه ثالثه تنشيطيه استرازينكا

من مصر

وتوكلنا ما يظهر لي بالج                         "
616,           نفس المشكله للاسف، تتواصل مع توكلنا يقول تواصل مع الصحه تتواصل مع الصحه يقولوا اختصاص توكلنا  تعبنا 
617, تم التواصل مع وزاره الصحه وابلغونى حاليا التحديث من أرقام الحدود لأرقام الاقامه بيكون من خلال توكل                         
618,                                                                              أتمنى ذلك لأن الحي في                         
619,                                                                                  مرحبا بك أستاذ عبدالله ، شكرا لك اقتراحك 
620, السلام عليكم ورحمه الله حسابى بتوكلنا وقف وابغى تشغيله وتحديث رقم جوال جديد
621, السلام عليكم ورحمة الله وبركاته امل تحديث بيانات توكلنا لدى الزوجه وابنى حيث تم استكمال اللقاح برق                         
622,"                        وعليكم السلام 
نحن في مركز ٩٣٧ متواجدين   ٢٤   ساعة لخدمتك
تفضل بالتواصل عب                         "
623, ارسلت لكم خاص ياآخي ردوا ع
624, تم الارسال عليالخاص ولا احد يرد علينا
625, لو سمحت انا حاجز جرعه ثانيه الخميس  متى يتم تعديل الحاله على توكلنا الى محصن هل بعد اخذ اللقاح مباشرة ام بعدها بفتره؟
626,                تم تواصل مع وزارة الصحة واخبروني بانهم ارسلو لكم البيانات التحصين وحتى الان لم تتغي                         
627," السلام عليكم
هل البرامج يشتغل خارج المملكة ام لا"
628,            طيب عندي خادمه من بنقلادش اخذت جرعة فايزر واحده وسافرة والان بترجع هل يلزم حجر
629, انا مواطن محصن ، حصلت على جرعتين لقاح كورونا ، لي يومين قادم من السفر وابي احجز تصريح عمره لكن ما                         
630,               انا مستثنى من الجرعه الثانيه ولدي مايثبت من الصحه اني مستثني كلمت توكلنا يقولون كلم                         
631, سلام عليكم ، عندي خدامة تطعمت في بلدها واخذت التطعيمة الثانية هنا بالسعودية ولي اكثر من شهر اتواصل                         
632,                                 يعني لازم نكتب بالعام علشان تردون على رسائلنا 😕
633,         افتح الحساب عن طريق الموقع مو عن طريق التطبيق ؟
634,              اتواصل مع توكلنا يقولون لي اتواصل مع وزارة الصحه وصحه تقطنا ع توكلنا من اكلم يعني ؟؟                         
635, السلام عليكم دفعت من لخدمة النقل وانسحب مني المبلغ وطلع لي خطاء في عملية الدفع    ورجعت دفعت مره ث                         
636," 
هل الحصول على الجرعة الثالثة شرط لمن يرغب السفر خارج المملكة؟"
637,                               لايك
638,               اتصلي على سفارة سعودية ولا أسئلي تطبيق توكلنا او اعتمرنا              
639,"              نصاب محتال 
                                                                                             "
640, السلام عليكم معاي شخصين سجلو في تطبيق توكلنا و طلع لهم حجر منزلي مع انهم محصنين
641,                             قالولي تابعنا وبننشر الطريقة
642,"السلام عليكم ورحمة الله وبركاته 
زائر قدم إلى المملكة و لم يقم بتعبئة نموذج تسجيل القدوم
                       
و                         "
643,                تواصلنا مع وزارة الصحة اكثر من مرة و زرناهم في جدة و الرياض  لكن دون فائدة  اعلمنا                         
644,"                                  فضل الاستغفار 

  فَقُلتُ استَغفِروا رَبَّكُم إِنَّهُ كانَ غَفّا                         "
645,            انا ماخذه الجرعه الثانيه ب ١٢ اكتوبر يعني قبل اسبوع والى الان الحاله عندي ماتحدثت
646," السلام عليكم 
انا مقيم أخذت الجرعه الأولى ٤ ٢٧ والتانيه بتاريخ ٧ ٢٩ بالسعوديه ولم يتم تغير الحاله                         "
647,                       هاه احد عرف كيف؟
648, هل من الممكن الاجابه على الاستفسار اللي وصلكم عبر الخاص؟
649,                                   مافهمت
650,"                                  
عاملات شركة مهارة ماخذوا اللقاح الأول ولا اللقاح الثاني هم خارجين عن النظام ؟"
651,                تم التسجيل وتمت الموافقه على الطلب منذ ١٥ يوم وماتغيرت الحاله على توكلنا
652, اخذت موعد للقاح كورونا الثالث ولكن ارغب بتغيير جدولة الموعد ويبدو ان التطبيق فيه مشكله ، كيف اعيد                         
653,                      يعني هي مجانيه 😳
654, اهلا حاب اغير موعد اللقاح ولكنه يرفض ومكتوب   عذرا حدث خطا ما الرجاء المحاوله لاحقا   ما السبب ؟؟
655, انا خلال اسبوعين طلبوا مسحه ثانيه مو ٢٩ يوم ؟
656, السلام عليكم انا مستثنى وسويت مسحة كورونا قبل اسبوعين والان مطلوب مني مسحة ثانيه ؟؟؟ ليش كل اسبوعي                         
657,                لم تضهر لي خريطه تحديد الموقع مالسبب                        
658, ما يطلع لي خيار الاضافه؟
659," السلام عليكم
انا امس اضفت المولود بالاحوال المدنيه والى الان ما انضاف بتطبيق توكلنا
هل فيه طريقه ا                         "
660, الرجاء التواصل معي خاص لتعديل الوضع  😤 وعدم الرد وإنهاء الحوار الى ان يتم الاجابة عن استفسار كامل 😤😤
661, افيدكم بانني اخذت الجرعة الاولى بمعارض الرياض في           ولكن الظاهر بتوكلنا تم الحجز وليس تم ال                         
662, سلام عليكم انا مستثنى من لقاح مكتوب لي تحتت فحص كورنا بعد ١٤ يوم هل احبابي فحص كورنا ، كل ١٤ يوم يتم فحص ؟
663, تواصلت معكم خاص الرجاء التجاوب مع الاستفسار
664, وكيف اغيره في ابشر اذا هو رقم قديم وماعاد استخدمه؟ لأن ما قدرت ادخل ابشر ولا توكلنا 
665,                        
666, سلام عليكم، انا ابغى اسوي لي حساب في توكلنا بس المشكله رقم الجوال اللي مرتبط بأبشر رقم قديم وماعاد                         
667, احاول احجز موعد تطعيم جرعه تعزيزية ويرد علي انه يوجد موعد سابق    ؟؟ ليش علما بانه مافي موعد سابق
668,"
السلام عليكم
اخذت اللقاح وارسلته على اعتماد اللقاح من خارج المملكه وجاتني الموافقه باعتماد اللقاح                         "
669, ممكن رد على الخاص؟
670,                شكرا لك
671,                شكرا جزيلا على ردكم السريع   يرجى تحديث الجرعة الثانية من حالة اللقاح على تطبيق توك                         
672,  ممكن تردو ع الخاص
673, السلام عليكم ممكن تردو علي الخاص
674,                كبار السن مايعرفون ألغوها افضل يكفي موجوده بابشر
675," 
مرحبا هل هنالك تحديث للاجراءات بخصوص المواطنين القادمين من الخارج والحاصلين على جرعه واحدة ؟"
676,                                                                                                                            
677, سلام عليكم  ماصحة الكلام الاعتماد موقف علي لقاح الاول بمملكة والثانية في اليمن
678, في توكلنا يظهر لها محصن مكتمل الجرعات هل يلزم الحجر المؤسسي عند العوده ؟؟؟
679, السلام عليكم عندي عامله منزليه اخذت جرعتين من لقاح كورونا في السعوديه وترغب في السفر الى اوغندت وا                         
680," السلام عليكم 
انا وافد محصن بجرعتين وسجلت اللقاحات قبل قدومي الي المملكة في بوابة مقيم وعندي دخولي                         "
681, شوفوا الخاص
682, انا سافرت وما عندي توكلنا ويش الحل عشان ارجع للمملكه العربيه السعوديه وأخذت جرعتين في بلدي
683, السلام عليكم انا عندي الوالد نسيت كلمة السر حقه وشريحته مفقودة ولا قدر يطلع بدل فاقد
684, الله يسلمكم ، الظاهر انكم غلطتو ماجاني شي يرجى التواصل معي وشكرا
685, عدلت تاريخ الوصول في بوابه مقيم قبل الوصول ب  ١٨ ساعه هل في مشكله
686,                             لقحت جرعهه ثانيه بس م طلع لي محصن قد لي ٦ايام وللحين م طلع شيء 
687,"
 السلام عليكم ، 
هل يلزم جرعتين للسفر من السودان الى السعودية؟
علما انه تم اخذ الجرعة الأولى في السعودية"
688,           الله يوفقكم تردوا   ما باقي وقت على السفر
689,                ما استفدت شي لانهم ما يردون
690,                شكرا لحسن معاملتكم
691, برجاء الرد على الخاص
692,"                شكرا لكم
يعني ماتوصل للأب؟"
693, كل ماجي اعمل حساب على التطبيق وادخل البيانات يبعتلي رساله يكتبلي فيها أن المعلومات المدخله غير صحي                         
694, ارجو الرد على الخاص
695,                وهل يمكن تسجيل اللقاح من خارج المملكه في ظل وجود حجز موعد جرعه ثانيه علي تطبيق توكلنا
696, الرجاء الرد على الخاص تم الاتصال لمده عشر دقايق ولم يتم الرد
697, لو سمحت ارجو الرد على الخاص
698,                تمام جايتكم
699,                                 رجاء الرد على الخاص
700," تم التواصل مع الصحة 
أرجو التواصل خاص لتزويدكم بالأرقام المرجعية
بناء على طلب وزارة الصحة"
701,                  المنصورة فايزر
702," السلام عليكم ورحمة الله وبركاته
اخي الكريم عندي صديقي مصاب متعافي تحم حجز موعد في تطبيق صحتي وموعد                         "
703, الرجاء الرجاء الرد على الخاص
704,           الرجاء الرد   الرجاء حل مشكله لها شهر ما انحلت
705," 
اقترح عليكم  أن تلزموا شركات الاتصال بباقة لاستخدام توكلنا 
كثير من الناس جواله على واي فاي البيت                         "
706,           احجزي من صحتي خلي توكلنا فيه وحده يطلع لها كذا وحجزت من صحتي وظبط
707, سلام عليكم اخواني أنا قدمت علا اعتماد تلقيح جنسون من خارج المملكه منذ اكثر من  ايام وللحين لم يتم                         
708, السلام عليكم ابي احجز لابوي الجرعة الثالثة يطلع لي كذا وش المشكلة                        
709, للحين لم يعتمد القاح بتوكلنا رغم انها جات لي رساله بالاموفقه علي الاعتماد
710,                        
711, الرجاء الرد على الخاص
712, بحسب رد حضرتك هذا يعني أن اللقاح الهندي كوفيشيلد ليس  معتمد لدخول المملكة العربية السعودية؟
713, لو سمحتوا ردو على الخاص  
714, السلام عليكم، هل اقدر اضيف اخواني الي اعمارهم اقل من ١٨ تابعين لي ؟
715,                أخي الكريم، نعتذر لك ليس من إختصاص أبشر، شكراً لتواصلك
716, مرحبا انا اخذت الجرعه الاولى اليوم ولا كتبو لي اني ماخذته للحين مكتوب لي غير محصن
717,                       انا عندي موافقة طلب اعتماد لقاح من الخارج من تاريخ ١٤ اكتوبر    و الى الان ح                         
718, الخاص
719, ابي حساب وزارة الصحه
720,"                    مرحبا بك عزيزي
اللقاحات المعتمدة في المملكة وهي الى الآن  جرعتين من لقاح فايزر بايونتك، جرعتين من لقاح "
721,                طيب والي ماخذ جرعه في السعوديه من لقاح فايزر واكمل اللقاح في بلد اخر  وقام بتسجيلها                         
722,                تم التواصل معهم أكثر من مرة وتم عمل طلب وبعد اسبوعين تابعت معهم طلبو مني الاتصال عل                         
723, فيه طريقه اخرى لان الصحه لاتتجاوب؟
724, زائر اخذ اللقاح خارج السعوديه والان بسعوديه ولم تتغير الحاله الصحيه بتوكلنا ولم يعرف باجراءات قبل السفر وش الحل     ؟
725,                رد بدون افاده واضحه
726,                        طيب ردو خاص
727,"
السلام عليكم ميف افتح حساب لعامل منزلي وصل حديثا ولا يملك اقامة"
728,                        ارسلت لكم مارديتوا
729," 
عندي عامل جاي من السفر ومطعم جرعتين وقدمت فيها طلب اعتماد وجاني قبول طلب الاعتماد يوم  لكن الى ال                         "
730,                       ياليت تراسلوني خاص يا توكلنا 
731, لم يصلني اي رد   
732,               شوفو الخاص ضرورررى
733, يرجى الرد عالخاص وشكرا 🙏👍
734,             سو لها حساب في صحتي مستقل برقم اقامتها واحجز
735, السلام عليكم حبيت استفسر كوني في دبي حاليا عند العوده للسعوديه هل يحتاج اعمل فحص     جديد ؟؟
736, ماكان فيه تجاوب اسبوع غير الكلام فقط ، ابي فعل ابي حل للمشكلة خلصوني
737,              صار لي اسبوع عندي خلل بتوكلنا راح عني محصن رغم اني ماخذه جرعتين مع الاثباتات والتواري                         
738,                  صار لي اسبوع عندي خلل بتوكلنا راح عني محصن رغم اني ماخذه جرعتين مع الاثباتات والت                         
739,               صار لي اسبوع عندي خلل بتوكلنا راح عني محصن رغم اني ماخذه جرعتين مع الاثباتات والتوار                         
740,                  صار لي اسبوع عندي خلل بتوكلنا راح عني محصن رغم اني ماخذه جرعتين مع الاثباتات والت                         
741,        صار لي اسبوع عندي خلل بتوكلنا راح عني محصن رغم اني ماخذه جرعتين مع الاثباتات والتواريخ وارس                         
742,                  صار لي اسبوع عندي خلل بتوكلنا راح عني محصن رغم اني ماخذه جرعتين مع الاثباتات والت                         
743,                صار لي اسبوع عندي خلل بتوكلنا راح عني محصن رغم اني ماخذه جرعتين مع الاثباتات والتوا                         
744, صار لي اسبوع عندي خلل بتوكلنا راح عني محصن رغم اني ماخذه جرعتين مع الاثباتات والتواريخ وارسلتها خا                         
745, صار لي اسبوع عندي خلل بتوكلنا راح عني محصن رغم اني ماخذه جرعتين مع الاثباتات والتواريخ وارسلتها خا                         
746, صار لي اسبوع عندي خلل بتوكلنا راح عني محصن رغم اني ماخذه جرعتين مع الاثباتات والتواريخ وارسلتها خا                         
747, تم ارسال المشكلة على الخاص
748,                              ماهي ظاهرة المحفظة                        
749," 
اتمنى حل مشكلتي ابغى اعدل موعد للجرعه الثانيه والتطبيق يقلي عذرا حدث خطأ  له اسبوع مو راضي"
750, ارسلت تفاصيل المشكله الي واجهتني  ممكن تردون
751, احد يرد عالخاص يالربع
752,               نراسل مين ؟
753," سلام عليكم 

عندي عامل اخذ التطعيمات خلرج المملكة    كيف يحدث الحالة في توكلنا ؟"
754,"  
حجزت موعد الجرعه الثانيه ويطلع لي الجرعه الاولى ؟؟ 
الجرعه الاولى اخذتها                        "
755,"           

  احبتي الكرام 

انتوا ناس مبدعين جداا 

عندي اقتراح لاضافة الجواز الطبي الى المحفظة ا                         "
756,"                                               مرحبا 
يرجى التواصل بالخاص حيث اني دخلت السعودية متج                         "
757,         صحتي بس للابناء
758,                فعلا انا محتاج جدولتها كلمت وزارة الصحة لتغير الموعد قالوا تواصل مع توكلنا
759,             عادي سو لها حساب في صحتي واحجز منه بيضبط
760, السلام عليكم اخوي عساك بخير ، الحين عندي زميل حاجز مجموعة تذاكر من موقع البيع وربطها في توكلنا حقه                         
761, عندنا عاملة منزلية مقيمة واخدت جرعتين برة المملكة وثم تسجيل لقاح في خدمات وزارة صحة وجاتنا رسالة أ                         
762,                يعطيكم العافية
763,              أخي العزيز أظن من كلامك انك من الصحة فيا ريت تفيدني خالي قدم ع اعتماد لقاح كورونا من                         
764, خدمتكم سيئة للغاية لي اسبوع اطلب حل مشكلة بسيطة ولامجيب تماطل ثم  ارسلت الف سؤال لـ اجيب عليه وعند                         
765," 
السلام عليكم ورحمه الله وبركاته
انا محصن جرعه واحد فى السعودية وعلى توكلنا مكتوب تلقى جرعه واحده                         "
766,                       للتذكير
767, السلام عليكم اخوي جاء زيارة للملكة و سجلناه ببوابة مقيم على انه غير محصن و اكمل الحجر المؤسسي بالر                         
768,                              لم استطع الحصول عليها ، في اي مكان غردتها انا؟
769, هل تذاكر الافتتاح مجانا؟؟؟؟
770," طالع   غير محصن   علما ان امي خذت الجرعة الاولى   مصابه بكرونا قبل شهرين 
ايش الحل ؟"
771," ماعندكم الا كلمه تصعيد البلاغ
نفسي اعرف تصعدوه فين واش الفايده
صعدتوه الف مره ولا صار شي
شهور وانا                         "
772, الولد حجر موسسي هذا اليوم التاسع اخدو له مسحتين الظاهر لدينا المسحه حقا التاريخ الثاني التاريخ الا                         
773,السلام عليكم         انا اصدرت اقامة من عدة ايام لعاملة منزليه تحت كفالتي و الى الان لم تظهر في توكلنا    ايش الوضع؟
774, شكرا لكم وتم متابعة المشكلة مع وزارة الصحة لكن ما زال موظف وزارة الصحة يقول الموضوع عند توكلنا          
775, نتمنى إضافة سجل الأسرة لتطبيق توكلنا
776, تم الرد في الخاص
777, ارجو الرد على الخاص مع الشكر الجزيل
778,                                 لو سمحت قدمت ع استثناء وتمت الموافقه ولكن لم ينعكس في توكلنا  مستثنى 
779,                السلام عليكم ابي اعدل موعد لقاح كورونا يطلعلي كذا                        
780,                                                                                 
781,                                                           
782, الرجاء الرد على رسائل الخاص
783," السلام عليكم 
عندي عاملة منزليه اصدرت لها اقامة من عدة ايام لكن الى الان ما تظهر في توكلنا  ايش المشكلة؟"
784,"                السلام عليكم ورحمة الله وبركاته
 الاجانب الذين ياتون من دول الاخرى
للعمرة لازم عمره                         "
785," ياهوووووووووووووووو ياعديمين الرحمه
صارلي سنه بدون توكلنا
وكل ماارسلت يقولو سيتم تصعيد البلاغ
متى                         "
786, تم اضافة الجرعة المعززة في توكلنا بقي اضافتها في الجواز الصحي
787,                  ابي اسجل تذكره في توكلنا ما طلع لي ولا عرف لها
788,                         
789, حدثت البرنامج و تواصلت معكم ولا في تغيير بالحاله الصحيه
790," شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخراج تاشيرات
 ️ تصفير الغرامات💯
 ️ نقل                         "
791,"                       ننتظر الأخوة في الجوازات 
وللتذكير 
١  الأبناء أقل من سن ١٢ عام
٢   تم التسج                         "
792,                قد اتواصلنا معاهم اكثر من ١٠مرات يقولون بعد ما يتم التنسيق مع وزارة الصحه اليمنيه ايش السسب
793,"                                                   

                                                                               "
794," 

مقيم عنده جرعه من السعودية 
وسافر بلاده 
والان يريد يرجع السعودية 
واخذ جرعه ثانيه من لقاح كورون                         "
795, الرجاء الرد علي الخاص
796,                  الله يعطيكم العافيه سبق وكلمتهم يقولون هذي المشكله من برنامج توكلنا علي حسب ما يقولون انها اذا ظهرت عندك 
797,                                                                                                                            
798,  السلام عليكم تذكير نأمل الرد على الاستفسار بالخاص وسرعة معالجة المشكلة في البلاغ رقم       
799, الوالدة اخذت الجرعة الأولى من المستشفى الي كانت تراجع فيها من دون موعد والجرعة الثانيه بموعد وما ت                         
800,                وش الحل                        
801,"                                               شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع الم                         "
802,"                                            مرحبا بك عزيزي 
بيانات التحصين ترسل من وزارة الصحة وتظهر في توكلنا، فضلا التواص "
803,                لم يتم اسناد الا واحدة والاخرى لم تقبل وصاحب التذكرة لا يستطيع الحضور، يرغب باسناده                         
804," 

استاذي احاول حجز موعد جرعه ثانيه للعامله المنزليه عندي ويرفض 

يقول تعذر اكمال الطلب 

وش المشكله                        "
805,"                                                                
الاخوان في نزاهه ارغب بتقديم بلاغ                         "
806,                  
807, السلام عليكم عزيزي عندي عامل مقيم والان هو في الحدود وعلماً انه اخذ اللقاح في بلده في اليمن والان                         
808,                             😂 😂 😂 😂 😂 😂 😂 😂 😂
809,                             متخيل؟  اكثر من الانستجرام و وتساب ويتوب و تويتش 😂 مهوب طبيعي                        
810, السلام عليكم اتمنى حل المشكله على الخاص
811, متتى تتحدث حالة ؟     في توكلنا
812,                                                                                                            ?
813, السلام عليكم ورحمة الله وبركاته    رفعت طلب استثناء عن طريق موقع وزارة الصحة وتم قبول الطلب لدواعي                         
814,                                  يا جماعة انا مرسل علي الخاص من امس وما احد رد
815, الرجاء الرد علي الرسائل
816,                  السلام عليكم ، كيف حجزتم للقاح بالبحرين ؟
817,"          شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخراج تاشيرات                         "
818,"                                         شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️                          "
819,                                           استخدم  موقع توكلنا حتي يشتغل تطبيق من حاله ممكن يوم ممكن اسبوع ممكن اسبوعين زي
820,                                                                                                                    
821," 
السلام عليكم تم تجديد الهويه ولم يتغير تاريخ الانتهاء في تطبيق توكلنا ؟؟ فقط الصورة الشخصية"
822,               هل تذاكر مدل بيست نفس الطريقة؟ 
823," 
                                                                                                                          "
824, اتمنى الرد بالخاص
825," مرحبا

رقم الإقامة           

لقد تلقيت الموافقة على التطعيم للمملكة الخارجية في    سبتمبر، ولكن                         "
826,"          
 
انا ملقح جرعة اولى فايزر في المملكة بشهر ٧ و الان انا في مصر لقحت جونسون آند حونسون رف                         "
827,  اخوي لما اجي بغير الموعد حق اللقاح يطلع لي حدث خطا ليه ؟؟ لي الحين اسبوع مقدر اغيره   
828," 
انا ملقح جرعة اولى فايزر في المملكة بشهر ٧ و الان انا في مصر لقحت جونسون آند حونسون رفعت طلب اعتم                         "
829,"                   
                                                                      

                                "
830, اتمنى الرد خاص
831,"           السلام عليكم 
لو سمحتو ايش يعني كذا كل المراكز مافي مواعيد؟

عندي اشغال معطله بسبب الجرع                         "
832,                                        ارسلت لكم مشكلتي ولم يتم التجاوب من قبلكم    لماذا؟؟
833,                                             نعتذر لذلك ونؤكّد لكم أن ملاحظاتكم محل اهتمامنا وعنايت                         
834," 
الرجاء  ايجاد  حل  للذين  فقدوا  شرائح تلفوناتهم  المعتمدة  في ابشر   و هم  خارج  المملكة  و محصن                         "
835, مش عارف احجز موعد الجرعة الثانية ؟                        
836, لو سمحت عندي استفسار ،بدخل حسابي يقول حدث الجوال عن طريق المساعده كيف ؟علماً اني حدثت الرقم بحساب ولي الامر المعرف بس ماضبط
837,                                                                                                             
838,                                                                                             
839,                                                                                        
840,                                                                                                
841, السلام عليكم هل صحيح ممنوع دخول الاطفال في موسم الرياض   
842,                                                 المشكله كل مين يرمي على الثاني مشرف توكلنا باقي يح                         
843, ؟؟  ننتظر حل المشكلة
844,"               مرحبا  توكلنا
تلقيت لقاح خارج المملكة سويت طلب اعتماد لقاح خارج المملكة وجيتني إعتما                         "
845,                             ارسلت لكم بيانات التحصين على الرسايل الخاصة
846," الرجاء حل مشكلة توكلنا مو قادره احجز جرعه ثانيه

كلمت وزارة الصحه وللحين المشكله موجوده                        "
847,وبعدين يعني مع توكلنا حقكم ذا لي ساعتين بحجز وكل شوي حاول لاحقًا شوفوا لكم صرفه 🙂
848,"                                            مرحبا بك عزيزي 
بيانات التحصين ترسل من وزارة الصحة وتظهر في توكلنا، فضلا التواص "
849,                                                                     ابي احدث  الرقم في توكلنا بيطل                         
850,         وعليكم السلام، ولا يهمِّك    إذا ممكن تتواصل مع الدعم الفني لفريق توكلنا                  وراح يعالجون مشكلتك 🙏
851, السلام عليكم ورحمة الله بعد كم من الوقت يمكن اخذ الجرعة الثانية وهل يحتاج إلى حجز موعد جديد ولا يتم حجز الموعد تلقائيا
852,                نتراجاكم حلوها رفعنا بلاغ لوزارة الصحه ومصعد وارسلتلكم ع الخاص رقم البلاغ
853,"                معلشي من فضلك
بمجرد اني اخذ جرعة من جونسون اقدر اسافر بعدها مباشرة ولا في اي اجراء من خلالكم لاثبات التطعيم"
854, سلام عليكم لو سمحت ممكن اعرف كام المده المسموح بها بين الجرعه الأولى والتانيه وهل لو انا واخد استر                         
855,"                                                       
معالي وزير الصحة ارجو الامر علي من يلزم بحل                         "
856,                        مرحبا بك أستاذ سعد، الهوية الوطنية وهوية مقيم عبر توكلنا تعد اثباتاً رسمياً معتمدا لإثبات الهوية لد 
857, ممكن الاطلاع على الرساله المرسلة شكرا لكم
858, سلام
859, الرجاء الرد علي الرسائل للاهمية
860,                شكرا جزيلا تم التواصل عبر الرسائل الخاصه
861,                شكرآ
862,                                 مرحبا بك عزيزي، بيانات التحصين ترسل من وزارة الصحة وتظهر في توكلنا، فضلا التواصل مع وزارة 
863, اخي مسوي جرعتين في اليمن والفحص طلع انه مصاب بكرونا وجالس في الحجر المنزلي صار له ١١ يوم الحين نسوي فحص ثاني اوكيف افيدونا
864, سويت طلب اعتماد اللقاح من خارج المملكه وتمت الموافقه لكن ماتنزل الجرعتين بتوكلنا ايش السبب
865," شغال الان 
 ️ مكتب العمل والجوازات
 ️ تعديل جميع المهن
 ️ انجاز منصة قوى استخراج تاشيرات
 ️ تصفير الغرامات💯
 ️ نقل                         "
866,        انتي مثلي مدري وش القصه
867," السلام عليكم ورحمة الله وبركاته
استفسار بخصوص تطبيق توكلنا  ممكن افتحه فى المطار من الموقع الالكتر                         "
868, السلام عليكم يا الغالي انا رفعت طلب اعتماد لقاح كرونا من خارج المملكة والحمدالله تمت الموافقة عليه                         
869,                جاوبني
870,                        مرحبا بك أستاذ سعد، الهوية الوطنية وهوية مقيم عبر توكلنا تعد اثباتاً رسمياً معتمدا لإثبات الهوية لد 
871,                يعني اسأل وين ومين
872,"                رد بس
لاكن مساعدة مافي"
873,                             تواصلت مع الصحة تقول رفعنا بياناتك
874,                شكرا
875,                طيب الحين كيف يقدر يسجل بتوكلنا
876,                جوابكم لا يتعلق بالسؤال أبداً ، قص لصق
877, لاينفتح معي التطبيق يطلب تحديث الجوال حدثته ولم يفتح
878," 
ارجو الرد ع الخاص"
879,                تم ارسال البينات المطلوبه ع الخاص ننتظر ردكم
880, تواصلت مع الوزارة    وقالوا لي من توكلنا وتواصلت معاكم وقلتو من الصحة      وحنا ضايعين بالنص
881,                                                              مرحبا بك عزيزي ، إليك طريقة اسناد تذاكر الفعاليات الى مستخدم 
882,                                         شكررررا الله يعطيك العافيه وعلى تفاعلكم السريع
883, السلام عليكم   ما هي الفترة لتحديث الحالة بالبرنامج بعد ظهور نتيجة فحص كورونا؟
884, هو عنده ابشر مسبقا
885, ماذا يعني منتهي؟ ولا اقدر احجز موعد جديد؟ اتصل ع وزارة الصحة يحولوني عليكم    انتم تحولوني ع الصحة                         
886,                             دمار شامل للجوالات
887, علمنا قبل كذا كانو التابعين موجودين ؟؟؟؟                        
888, ولا واحد يرد بالخاص وش الحل
889, السلام عليكم لدي مشكله في توكلنا لا يظهر لي التابعين وشكرا 🤝
890,                                                                                                                            
891,                              
892,                                                                                  '                                         
893,                لوسمحتي وش صار معك انا نفس حالتك مر يومين ولم تتحدث الحاله بتوكلنا
894," 
               
السلام عليكم 
عندي تذكرة لأخي عمره ١٠ سنوات وماعنده توكلنا 
في هذه الحالة كيف طريقة اعطاءه التذكرة ؟؟؟"
895,                عندي زوار من مملكة البحرين و حاجزين تذاكر بس ما يقدرون يربطونها مع توكلنا لانهم خار                         
